Linux 6.17.0-1019-aws (ip-172-31-34-148) 	07/23/26 	_x86_64_	(4 CPU)

06:45:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:45:10     all   61.42    0.00    7.11    0.00    0.00    0.51    0.00    0.00    0.00   30.96
06:45:11     all   79.05    0.00   11.47    0.00    0.00    1.25    0.00    0.00    0.00    8.23
06:45:12     all   63.48    0.00    5.79    0.76    0.00    0.50    0.00    0.00    0.00   29.47
06:45:13     all   83.84    0.00    3.28    0.00    0.00    0.00    0.00    0.00    0.00   12.88
06:45:14     all   52.75    0.00    7.25    0.00    0.00    1.25    0.00    0.00    0.00   38.75
06:45:15     all   77.08    0.00   17.13    0.50    0.00    2.27    0.00    0.00    0.00    3.02
06:45:16     all   73.28    0.00   12.72    1.27    0.00    0.25    0.00    0.00    0.00   12.47
06:45:17     all   64.21    0.00    5.33    1.27    0.00    0.76    0.00    0.00    0.00   28.43
06:45:18     all   45.82    0.00    9.37    0.51    0.00    1.01    0.00    0.00    0.00   43.29
06:45:19     all   60.51    0.00    4.81    1.77    0.00    0.51    0.00    0.00    0.00   32.41
06:45:20     all   47.09    0.00    4.05    1.52    0.00    0.00    0.00    0.00    0.00   47.34
06:45:21     all   59.24    0.00   13.67    2.03    0.00    1.52    0.00    0.00    0.00   23.54
06:45:22     all   48.59    0.00    4.35    1.28    0.00    0.00    0.00    0.00    0.00   45.78
06:45:23     all   42.75    0.00   12.98    0.00    0.00    1.78    0.00    0.00    0.00   42.49
06:45:24     all   18.81    0.00    5.41    3.35    0.00    0.52    0.00    0.00    0.00   71.91
06:45:25     all   72.50    0.00    3.25    0.00    0.00    0.50    0.00    0.00    0.00   23.75
06:45:26     all   32.23    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   66.24
06:45:27     all   47.46    0.00   15.74    2.03    0.00    1.52    0.00    0.00    0.00   33.25
06:45:28     all   44.13    0.00   19.32    2.87    0.00    2.09    0.00    0.00    0.00   31.59
06:45:29     all   36.62    0.00    5.71    2.34    0.00    0.26    0.00    0.00    0.00   55.06
