offered	achieved	elections	code_200	code_503	code_504	code_429	rejected_bp	p50_us	p99_us	p999_us	state
200	200	0	3000	0	0	0	0	2389	8815	15031	stable
400	400	0	6000	0	0	0	0	2651	53407	72831	stable
600	600	0	9000	0	0	0	0	4339	111295	156031	stable
800	799	0	12000	0	0	0	0	7571	160895	245375	stable
1000	637	15	9634	5233	133	0	0	120063	1151999	5128191	collapsed
1200	640	16	9658	6712	190	0	1440	239743	5111807	5206015	collapsed
2000	466	27	7090	14101	168	0	8641	137599	4089855	5242879	collapsed
4000	425	30	7914	20935	189	0	30962	10	4341759	5181439	collapsed
8000	392	27	5880	40117	188	0	73815	4	3211263	6107135	collapsed
