[soak] launching 3-node cluster (-XX:+UseZGC -Xmx2g -Xms2g) under /mnt/nvme/run/soak; out=/mnt/nvme/run/soak; signing-key=/mnt/nvme/Configd/deploy/compose/secrets/signing-key.bin
[soak] t+1309s rss=2481196kb fd=350 thr=177 gc_cycles=163 gc_cumsec=9.452 commit_p50=2087us p99=2833us committed=9000 rejected=0
[soak] t+1340s rss=2481204kb fd=350 thr=177 gc_cycles=167 gc_cumsec=9.660 commit_p50=2087us p99=2755us committed=9000 rejected=0
[soak] t+1371s rss=2481204kb fd=350 thr=177 gc_cycles=171 gc_cumsec=9.889 commit_p50=2109us p99=2831us committed=9000 rejected=0
[soak] t+1402s rss=2481204kb fd=350 thr=177 gc_cycles=175 gc_cumsec=10.193 commit_p50=2435us p99=6731us committed=9000 rejected=0
[soak] t+1434s rss=2481468kb fd=350 thr=177 gc_cycles=179 gc_cumsec=10.539 commit_p50=2629us p99=3977us committed=9000 rejected=0
[soak] t+1465s rss=2481732kb fd=350 thr=177 gc_cycles=183 gc_cumsec=10.869 commit_p50=2667us p99=3755us committed=9000 rejected=0
[soak] t+1496s rss=2481732kb fd=350 thr=177 gc_cycles=187 gc_cumsec=11.203 commit_p50=2663us p99=3829us committed=9000 rejected=0
[soak] t+1528s rss=2481996kb fd=350 thr=177 gc_cycles=192 gc_cumsec=11.595 commit_p50=2687us p99=3847us committed=9000 rejected=0
[soak] t+1559s rss=2481996kb fd=350 thr=177 gc_cycles=195 gc_cumsec=11.835 commit_p50=2637us p99=3827us committed=9000 rejected=0
[soak] t+1590s rss=2482516kb fd=350 thr=177 gc_cycles=199 gc_cumsec=12.152 commit_p50=2627us p99=4021us committed=9000 rejected=0
[soak] t+1622s rss=2482592kb fd=350 thr=177 gc_cycles=202 gc_cumsec=12.390 commit_p50=2625us p99=4215us committed=9000 rejected=0
[soak] t+1653s rss=2482592kb fd=350 thr=177 gc_cycles=208 gc_cumsec=12.866 commit_p50=2623us p99=4043us committed=9000 rejected=0
[soak] t+1684s rss=2482704kb fd=350 thr=177 gc_cycles=211 gc_cumsec=13.087 commit_p50=2599us p99=3799us committed=9000 rejected=0
[soak] t+1716s rss=2482704kb fd=350 thr=177 gc_cycles=215 gc_cumsec=13.431 commit_p50=2653us p99=4255us committed=9000 rejected=0
[soak] t+1747s rss=2483168kb fd=350 thr=177 gc_cycles=219 gc_cumsec=13.757 commit_p50=2667us p99=3943us committed=9000 rejected=0
[soak] t+1778s rss=2483168kb fd=350 thr=177 gc_cycles=224 gc_cumsec=14.138 commit_p50=2645us p99=3997us committed=9000 rejected=0
[soak] t+1810s rss=2483168kb fd=350 thr=177 gc_cycles=228 gc_cumsec=14.459 commit_p50=2727us p99=4091us committed=9000 rejected=0
