N	offered	achieved	elections	code_200	code_503	code_504	code_429	retargets	leader_dist	p50_us	p99_us	p999_us	state
1	100	100	0	2000	0	0	0	0	n1=0,n2=0,n3=1	3549	177535	197375	stable
1	150	150	0	3000	0	0	0	0	n1=0,n2=1,n3=0	3343	316671	359423	stable
1	200	191	2	3817	183	0	0	3	n1=0,n2=1,n3=0	3299	847359	971775	collapsed
1	250	237	2	4746	254	0	0	1	n1=0,n2=0,n3=1	3567	933887	1101823	collapsed
1	300	278	4	5562	422	16	0	7	n1=1,n2=0,n3=0	4367	1386495	5005311	collapsed
1	400	357	6	7157	685	158	0	20	n1=0,n2=1,n3=0	22879	5005311	5021695	collapsed
1	500	365	14	7475	2474	51	0	5	n1=0,n2=0,n3=1	333311	1444863	5017599	collapsed
