Linux 7.0.0-1006-aws (ip-172-31-28-187) 	06/20/26 	_x86_64_	(16 CPU)

19:53:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:53:21     all   35.78    0.00    4.30    0.06    0.00    0.00    0.06    0.00    0.00   59.80
19:53:21       0   36.36    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   60.61
19:53:21       1   36.36    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   60.61
19:53:21       2   33.67    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   63.27
19:53:21       3   39.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
19:53:21       4   35.35    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   60.61
19:53:21       5   38.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
19:53:21       6   31.31    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   65.66
19:53:21       7   38.78    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   58.16
19:53:21       8   35.71    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   61.22
19:53:21       9   32.67    0.00    3.96    0.00    0.00    0.00    0.99    0.00    0.00   62.38
19:53:21      10   30.93    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   64.95
19:53:21      11   40.82    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   57.14
19:53:21      12   34.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00
19:53:21      13   32.65    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   66.33
19:53:21      14   46.94    0.00   25.51    0.00    0.00    0.00    0.00    0.00    0.00   27.55
19:53:21      15   30.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   67.00

19:53:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:53:22     all   24.68    0.00    2.54    0.44    0.00    0.06    0.00    0.00    0.00   72.27
19:53:22       0   21.65    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   76.29
19:53:22       1   40.40    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   57.58
19:53:22       2   23.47    0.00    3.06    1.02    0.00    0.00    0.00    0.00    0.00   72.45
19:53:22       3   19.39    0.00    4.08    1.02    0.00    0.00    0.00    0.00    0.00   75.51
19:53:22       4   41.58    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   55.45
19:53:22       5   17.17    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   78.79
19:53:22       6   19.19    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   77.78
19:53:22       7   29.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   67.00
19:53:22       8   26.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   72.00
19:53:22       9   27.84    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   70.10
19:53:22      10   21.43    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   76.53
19:53:22      11   18.75    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   79.17
19:53:22      12   19.19    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   77.78
19:53:22      13   23.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   73.00
19:53:22      14   22.22    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   73.74
19:53:22      15   23.96    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   73.96

19:53:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:53:23     all   18.75    0.00    2.14    0.57    0.00    0.31    0.00    0.00    0.00   78.23
19:53:23       0   14.29    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   82.65
19:53:23       1   10.00    0.00    3.00    1.00    0.00    1.00    0.00    0.00    0.00   85.00
19:53:23       2   12.12    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   84.85
19:53:23       3   14.58    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   83.33
19:53:23       4   31.68    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   65.35
19:53:23       5   34.69    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   64.29
19:53:23       6   28.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   69.00
