offered	achieved	elections	code_200	code_503	code_504	code_429	rejected_bp	p50_us	p99_us	p999_us	state
800	774	2	11620	380	0	0	0	6987	220287	350463	collapsed
1000	632	18	9481	5277	242	0	0	91071	5001215	5136383	collapsed
800	799	0	12000	0	0	0	0	8095	169855	239615	stable
1000	562	18	9049	5951	0	0	0	176255	2217983	2308095	collapsed
800	799	0	12000	0	0	0	0	6687	161663	229247	stable
1000	749	11	11514	3268	218	0	0	53919	5001215	5160959	collapsed
