% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 72.58   56.066139        1308     42849      9346 futex
 24.37   18.822408         207     90865           io_uring_enter
  1.40    1.081470     1081470         1           accept
  0.97    0.749451         467      1603           read
  0.20    0.151441          49      3078           getsockname
  0.11    0.088444          43      2053           setsockopt
  0.10    0.079843          40      1987           mprotect
  0.07    0.055609          48      1152           write
  0.05    0.038060          37      1024           getpeername
  0.04    0.027386          51       527           rt_sigprocmask
  0.03    0.020360          29       693           mmap
  0.02    0.013956         193        72           sysinfo
  0.01    0.009814         134        73           clone3
  0.01    0.008644          96        90           munmap
  0.01    0.007466           5      1451           lseek
  0.01    0.005310          40       131           gettid
  0.00    0.003818          95        40           madvise
  0.00    0.002660           4       548           pread64
  0.00    0.002548          70        36           getrusage
  0.00    0.002127          96        22           sched_yield
  0.00    0.001972          26        74           rseq
  0.00    0.001888          33        57           io_uring_register
  0.00    0.001793          16       109           clock_gettime
  0.00    0.001766          18        96           sched_getaffinity
  0.00    0.001345          17        78        76 readlink
  0.00    0.001172           7       167           close
  0.00    0.000866          11        74           set_robust_list
  0.00    0.000664          36        18           eventfd2
  0.00    0.000620           8        72           prctl
  0.00    0.000525          87         6           getsockopt
  0.00    0.000425          17        25           io_uring_setup
  0.00    0.000324           1       204        97 openat
  0.00    0.000204          40         5           clock_nanosleep
  0.00    0.000189           4        40        15 stat
  0.00    0.000086           0       111         1 fstat
  0.00    0.000047           5         9           rt_sigreturn
  0.00    0.000046           2        19           socket
  0.00    0.000042           4        10         1 access
  0.00    0.000034          34         1           shutdown
  0.00    0.000030           1        18         3 ioctl
  0.00    0.000026           0        61        54 newfstatat
  0.00    0.000010           3         3           bind
  0.00    0.000008           2         3         1 unlink
  0.00    0.000005           2         2           uname
  0.00    0.000004           0        15           fcntl
  0.00    0.000003           3         1           epoll_ctl
  0.00    0.000003           3         1           epoll_create1
  0.00    0.000003           1         3           statx
  0.00    0.000002           0         3           getcwd
  0.00    0.000002           0         7           prlimit64
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         4           brk
  0.00    0.000000           0        23           rt_sigaction
  0.00    0.000000           0         7           getpid
  0.00    0.000000           0         4         4 connect
  0.00    0.000000           0         2           listen
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00   77.251058         516    149655      9600 total
