% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 76.53  658.933184        2996    219908     50594 futex
 16.75  144.252339         115   1250631         1 sendto
  4.76   40.974618        5404      7581           epoll_pwait2
  1.17   10.039583        6815      1473           read
  0.33    2.828515         152     18603        17 recvfrom
  0.12    1.020999         180      5654           write
  0.11    0.962095         420      2290           mprotect
  0.10    0.830709      830709         1           accept
  0.03    0.218135          79      2728           epoll_ctl
  0.02    0.176909         172      1024           accept4
  0.01    0.119576         149       802           epoll_wait
  0.01    0.110648          66      1670           getsockopt
  0.01    0.078600          97       806           close
  0.01    0.069539          33      2054           getsockname
  0.01    0.058101          28      2054           setsockopt
  0.00    0.041247          30      1354           clock_gettime
  0.00    0.037357          36      1023           rt_sigprocmask
  0.00    0.037296          51       726           mmap
  0.00    0.034216          35       968           gettid
  0.00    0.024212          27       872           getrusage
  0.00    0.021402          16      1318           lseek
  0.00    0.021143         213        99           sched_yield
  0.00    0.018798         172       109           clone3
  0.00    0.015316         145       105           sysinfo
  0.00    0.010665          17       599           pread64
  0.00    0.008874          88       100           clock_nanosleep
  0.00    0.007184          65       110           set_robust_list
  0.00    0.005748         110        52           madvise
  0.00    0.004303          16       265           rt_sigreturn
  0.00    0.004241          24       174           sched_getaffinity
  0.00    0.004054          36       110           rseq
  0.00    0.003717          34       108           prctl
  0.00    0.000891           4       207        97 openat
  0.00    0.000597           7        78        76 readlink
  0.00    0.000509           8        57           munmap
  0.00    0.000483           3       124         1 fstat
  0.00    0.000362          19        19           epoll_create1
  0.00    0.000326          32        10         1 access
  0.00    0.000137           6        20           socket
  0.00    0.000128           3        41        15 stat
  0.00    0.000094           4        19           eventfd2
  0.00    0.000084           5        15           fcntl
  0.00    0.000080           4        17           timerfd_create
  0.00    0.000078           3        23           rt_sigaction
  0.00    0.000072           4        17         3 ioctl
  0.00    0.000063          21         3           bind
  0.00    0.000053           8         6           getdents64
  0.00    0.000049           7         7           prlimit64
  0.00    0.000047          11         4         4 connect
  0.00    0.000039           0        61        54 newfstatat
  0.00    0.000038          38         1           shutdown
  0.00    0.000022           3         7           getpid
  0.00    0.000017           4         4           brk
  0.00    0.000016           4         4           fchdir
  0.00    0.000016           4         4           geteuid
  0.00    0.000013           6         2           ftruncate
  0.00    0.000010           5         2           uname
  0.00    0.000008           4         2           lstat
  0.00    0.000008           8         1           statfs
  0.00    0.000008           2         3           statx
  0.00    0.000006           6         1           socketpair
  0.00    0.000006           6         1           flock
  0.00    0.000006           6         1         1 mkdir
  0.00    0.000005           1         3           getcwd
  0.00    0.000005           5         1           clock_getres
  0.00    0.000005           5         1           getrandom
  0.00    0.000004           2         2           listen
  0.00    0.000004           4         1           getuid
  0.00    0.000004           2         2         1 arch_prctl
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000004           4         1         1 recvmmsg
  0.00    0.000004           4         1         1 sendmmsg
  0.00    0.000000           0         1           writev
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           unlink
  0.00    0.000000           0         1           epoll_create
------ ----------- ----------- --------- --------- ------------------
100.00  860.977628         564   1526150     50867 total
