% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 71.78   46.042795        1316     34982      7577 futex
 11.01    7.059369         419     16810           epoll_pwait2
  7.39    4.740916         118     40001           writev
  6.64    4.256592         106     40001           recvfrom
  1.68    1.080460     1080460         1           accept
  1.04    0.664822         409      1625           read
  0.24    0.154826          78      1981           mprotect
  0.04    0.022858         357        64           accept4
  0.03    0.018636          81       230           epoll_ctl
  0.02    0.013442         186        72           sysinfo
  0.02    0.013294          21       627           mmap
  0.02    0.011934          24       485           rt_sigprocmask
  0.02    0.011142          45       245           close
  0.02    0.010027          74       134           getsockopt
  0.01    0.006075          45       134           getsockname
  0.01    0.005724          42       134           setsockopt
  0.01    0.004565           3      1473           lseek
  0.01    0.004547          67        67           clone3
  0.00    0.002480          85        29           sched_yield
  0.00    0.002449          62        39           madvise
  0.00    0.002436          18       132           gettid
  0.00    0.002177           3       545           pread64
  0.00    0.002167          54        40        15 stat
  0.00    0.001358          14        93           write
  0.00    0.001260          14        90           sched_getaffinity
  0.00    0.001009          14        68           rseq
  0.00    0.000850          12        68           set_robust_list
  0.00    0.000797          34        23           getrusage
  0.00    0.000780           3       204        97 openat
  0.00    0.000744          11        66           prctl
  0.00    0.000618           4       124           clock_gettime
  0.00    0.000568          11        50           munmap
  0.00    0.000322           4        78        76 readlink
  0.00    0.000151           8        18           epoll_wait
  0.00    0.000146           1       111         1 fstat
  0.00    0.000133           6        20           socket
  0.00    0.000101           1        61        54 newfstatat
  0.00    0.000088          29         3           bind
  0.00    0.000065           3        19           eventfd2
  0.00    0.000047           2        18         3 ioctl
  0.00    0.000043           4        10         1 access
  0.00    0.000039           2        19           epoll_create1
  0.00    0.000038           2        15           fcntl
  0.00    0.000025           1        17           timerfd_create
  0.00    0.000016           5         3           statx
  0.00    0.000015           7         2           clock_nanosleep
  0.00    0.000013           0        23           rt_sigaction
  0.00    0.000012           3         4         4 connect
  0.00    0.000011           5         2           uname
  0.00    0.000011           3         3           getcwd
  0.00    0.000009           9         1           socketpair
  0.00    0.000008           1         7           getpid
  0.00    0.000008           4         2           listen
  0.00    0.000005           1         5           rt_sigreturn
  0.00    0.000005           5         1         1 recvmmsg
  0.00    0.000005           0         7           prlimit64
  0.00    0.000005           5         1         1 sendmmsg
  0.00    0.000004           4         1           getuid
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           shutdown
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         2           unlink
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           epoll_create
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00   64.143042         454    141122      7832 total
