% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 72.34   40.198961        1198     33547      7280 futex
  9.88    5.488522         584      9395           epoll_pwait2
  7.40    4.109668         102     40001           writev
  6.39    3.551037          88     40001           recvfrom
  1.73    0.960756      960756         1           accept
  0.89    0.494385         304      1625           read
  0.32    0.180271          93      1919           mprotect
  0.26    0.145996         181       806           epoll_ctl
  0.23    0.130377         509       256           accept4
  0.13    0.071656         163       438           close
  0.13    0.070000         135       518           getsockopt
  0.07    0.039723          76       518           getsockname
  0.05    0.029539          57       518           setsockopt
  0.05    0.028992          46       628           mmap
  0.03    0.015764          33       477           rt_sigprocmask
  0.02    0.009148           6      1473           lseek
  0.01    0.008276         168        49           sysinfo
  0.01    0.006743         102        66           clone3
  0.01    0.005343          28       185           write
  0.01    0.004781          93        51           munmap
  0.01    0.003282          27       119           gettid
  0.01    0.003043           5       545           pread64
  0.00    0.002714          64        42           epoll_wait
  0.00    0.002596          38        67           set_robust_list
  0.00    0.001963          20        94           clock_gettime
  0.00    0.001896          28        67           rseq
  0.00    0.001773          46        38           madvise
  0.00    0.001222          13        89           sched_getaffinity
  0.00    0.001103           5       205        97 openat
  0.00    0.000707          10        65           prctl
  0.00    0.000389           3       112         1 fstat
  0.00    0.000268          89         3           clock_nanosleep
  0.00    0.000256           3        78        76 readlink
  0.00    0.000226          10        21           getrusage
  0.00    0.000225           5        40        15 stat
  0.00    0.000098           4        20           socket
  0.00    0.000090           3        23           rt_sigaction
  0.00    0.000089          89         1           shutdown
  0.00    0.000075           4        16           sched_yield
  0.00    0.000061           3        18         3 ioctl
  0.00    0.000052           0        61        54 newfstatat
  0.00    0.000045           4        10         1 access
  0.00    0.000045           3        15           fcntl
  0.00    0.000043          10         4         4 connect
  0.00    0.000042           7         6           getdents64
  0.00    0.000028           4         7           getpid
  0.00    0.000026           3         7           prlimit64
  0.00    0.000021           4         5           rt_sigreturn
  0.00    0.000018           4         4           fchdir
  0.00    0.000016           4         4           brk
  0.00    0.000016           4         4           geteuid
  0.00    0.000012           6         2         1 flock
  0.00    0.000012           6         2           ftruncate
  0.00    0.000011           3         3           statx
  0.00    0.000009           9         1           statfs
  0.00    0.000007           2         3           getcwd
  0.00    0.000007           3         2           unlink
  0.00    0.000006           6         1         1 mkdir
  0.00    0.000006           6         1           clock_getres
  0.00    0.000005           5         1           lstat
  0.00    0.000005           5         1           getrandom
  0.00    0.000004           2         2         1 arch_prctl
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000003           1         2           uname
  0.00    0.000003           3         1           getuid
  0.00    0.000003           3         1           epoll_create
  0.00    0.000000           0         3           bind
  0.00    0.000000           0         2           listen
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           execve
  0.00    0.000000           0        17           timerfd_create
  0.00    0.000000           0        19           eventfd2
  0.00    0.000000           0        19           epoll_create1
  0.00    0.000000           0         1         1 recvmmsg
  0.00    0.000000           0         1         1 sendmmsg
------ ----------- ----------- --------- --------- ------------------
100.00   55.572463         413    134350      7536 total
