% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 80.81   49.357607        1174     42013      9653 futex
 16.10    9.831214          81    120099           io_uring_enter
  1.83    1.120687     1120687         1           accept
  1.10    0.670502         417      1605           read
  0.10    0.058320          36      1590           mprotect
  0.02    0.011050          17       638           mmap
  0.01    0.006932           4      1453           lseek
  0.01    0.003652           7       462           rt_sigprocmask
  0.00    0.003024          18       168           close
  0.00    0.002890          35        81           munmap
  0.00    0.002553           4       548           pread64
  0.00    0.002209          34        64           clone3
  0.00    0.001898          33        57           io_uring_register
  0.00    0.001385          39        35           madvise
  0.00    0.001073          59        18           sched_yield
  0.00    0.000960           9       105           write
  0.00    0.000845           9        85           gettid
  0.00    0.000644           9        65           set_robust_list
  0.00    0.000432           6        65           rseq
  0.00    0.000431           4        87           sched_getaffinity
  0.00    0.000359           4        79           clock_gettime
  0.00    0.000225           3        63           prctl
  0.00    0.000212           7        30           getsockname
  0.00    0.000196          32         6           rt_sigreturn
  0.00    0.000182          18        10         1 access
  0.00    0.000119           1        78        76 readlink
  0.00    0.000117          14         8           getpeername
  0.00    0.000107           0       205        97 openat
  0.00    0.000088          88         1           shutdown
  0.00    0.000082           3        25           io_uring_setup
  0.00    0.000078           3        20           getrusage
  0.00    0.000076           1        40        15 stat
  0.00    0.000071           3        19           socket
  0.00    0.000070           3        20           sysinfo
  0.00    0.000063           3        21           setsockopt
  0.00    0.000054          18         3           bind
  0.00    0.000036          12         3         1 unlink
  0.00    0.000031           0       112         1 fstat
  0.00    0.000023           1        18         3 ioctl
  0.00    0.000018           6         3           statx
  0.00    0.000017           2         6           getsockopt
  0.00    0.000015           0        18           eventfd2
  0.00    0.000007           7         1           socketpair
  0.00    0.000006           3         2           listen
  0.00    0.000005           0         7           getpid
  0.00    0.000003           1         3           getcwd
  0.00    0.000002           0        23           rt_sigaction
  0.00    0.000001           0        15           fcntl
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         4         4 connect
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           uname
  0.00    0.000000           0         2         1 flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1           epoll_ctl
  0.00    0.000000           0        61        54 newfstatat
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         7           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00   61.080571         358    170186      9908 total
