% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 76.12  315.730908        1756    179707     35098 futex
 12.75   52.874414        2214     23872           epoll_pwait2
  9.91   41.112003         134    304993           sendto
  0.35    1.441897          83     17318           write
  0.31    1.290535          85     15181         9 recvfrom
  0.30    1.232987         840      1467           read
  0.07    0.299213      299213         1           accept
  0.05    0.208170         117      1767           mprotect
  0.02    0.091313         115       790           epoll_ctl
  0.02    0.074026         174       424           close
  0.02    0.070972         141       502           getsockopt
  0.02    0.064981          87       744           rt_sigprocmask
  0.01    0.061562         240       256           accept4
  0.01    0.059394         190       311           epoll_wait
  0.01    0.030439          43       692           mmap
  0.00    0.018345          35       518           getsockname
  0.00    0.017029          32       518           setsockopt
  0.00    0.017015         182        93           sched_yield
  0.00    0.015632         332        47           madvise
  0.00    0.015165          25       601           pread64
  0.00    0.015151         159        95           clone3
  0.00    0.011595           8      1312           lseek
  0.00    0.010199          23       425           gettid
  0.00    0.006521          66        98           sysinfo
  0.00    0.004527          31       146           sched_getaffinity
  0.00    0.004193          43        96           rseq
  0.00    0.003484          36        96           set_robust_list
  0.00    0.002844          30        94           prctl
  0.00    0.002280           9       243           clock_gettime
  0.00    0.002087          52        40           clock_nanosleep
  0.00    0.001988          24        80           rt_sigreturn
  0.00    0.001942          69        28           getrusage
  0.00    0.001500          25        60           munmap
  0.00    0.000649           8        78        76 readlink
  0.00    0.000470           2       207        97 openat
  0.00    0.000241           1       124         1 fstat
  0.00    0.000204           4        41        15 stat
  0.00    0.000129           6        20           socket
  0.00    0.000123         123         1           shutdown
  0.00    0.000096           1        61        54 newfstatat
  0.00    0.000093          31         3           statx
  0.00    0.000077           4        17         3 ioctl
  0.00    0.000043           4        10         1 access
  0.00    0.000043           2        15           fcntl
  0.00    0.000032           1        19           epoll_create1
  0.00    0.000029           1        19           eventfd2
  0.00    0.000025           8         3           bind
  0.00    0.000024           1        17           timerfd_create
  0.00    0.000015           0        23           rt_sigaction
  0.00    0.000009           1         7           getpid
  0.00    0.000008           2         3           getcwd
  0.00    0.000007           7         1           socketpair
  0.00    0.000007           3         2           uname
  0.00    0.000006           1         4         4 connect
  0.00    0.000005           5         1         1 recvmmsg
  0.00    0.000004           2         2           unlink
  0.00    0.000004           0         7           prlimit64
  0.00    0.000004           4         1         1 sendmmsg
  0.00    0.000003           1         2           lstat
  0.00    0.000003           3         1           getuid
  0.00    0.000002           1         2           listen
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           epoll_create
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00  414.796666         749    553336     35362 total
