% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 69.42   53.696417        1407     38146      8556 futex
 10.51    8.128871         381     21327           epoll_pwait2
  8.56    6.623596         110     60001           writev
  8.09    6.259006         104     60001           recvfrom
  1.56    1.206812     1206812         1           accept
  1.49    1.151539         708      1625           read
  0.20    0.157483          76      2057           mprotect
  0.05    0.039281         613        64           accept4
  0.02    0.013141          21       623           mmap
  0.02    0.013118          57       230           epoll_ctl
  0.02    0.012906          96       134           getsockname
  0.01    0.010976          81       134           setsockopt
  0.01    0.006434          13       469           rt_sigprocmask
  0.01    0.005247          80        65           clone3
  0.01    0.004660          34       134           getsockopt
  0.00    0.003400           2      1473           lseek
  0.00    0.003205          23       138           gettid
  0.00    0.002316          47        49           munmap
  0.00    0.001684           3       545           pread64
  0.00    0.001541          16        91           write
  0.00    0.001535          23        64           prctl
  0.00    0.001343          31        43           sysinfo
  0.00    0.001027          38        27           sched_yield
  0.00    0.001024           8       125           clock_gettime
  0.00    0.000791          43        18           epoll_wait
  0.00    0.000723          19        37           madvise
  0.00    0.000698          10        66           rseq
  0.00    0.000517          12        40        15 stat
  0.00    0.000440           5        88           sched_getaffinity
  0.00    0.000407           6        66           set_robust_list
  0.00    0.000332           1       245           close
  0.00    0.000330           1       204        97 openat
  0.00    0.000323         107         3           clock_nanosleep
  0.00    0.000249          10        24           getrusage
  0.00    0.000195           2        78        76 readlink
  0.00    0.000185           1       111         1 fstat
  0.00    0.000177          10        17           timerfd_create
  0.00    0.000117         117         1           shutdown
  0.00    0.000073           7        10         1 access
  0.00    0.000048           0        61        54 newfstatat
  0.00    0.000036           2        15           fcntl
  0.00    0.000031           1        18         3 ioctl
  0.00    0.000030          10         3           statx
  0.00    0.000025           1        19           epoll_create1
  0.00    0.000023           1        19           eventfd2
  0.00    0.000020           1        20           socket
  0.00    0.000020           6         3           getcwd
  0.00    0.000017           0        23           rt_sigaction
  0.00    0.000013           3         4         4 connect
  0.00    0.000012           1         7           getpid
  0.00    0.000010           2         5           rt_sigreturn
  0.00    0.000005           2         2           uname
  0.00    0.000004           4         1           getuid
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         3           bind
  0.00    0.000000           0         2           listen
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         2           unlink
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           epoll_create
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1         1 recvmmsg
  0.00    0.000000           0         7           prlimit64
  0.00    0.000000           0         1         1 sendmmsg
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00   77.352413         409    188822      8811 total
