% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 73.84  267.326681        1804    148173     27859 futex
 21.44   77.624634         351    220854           io_uring_enter
  3.50   12.688419         138     91786           write
  0.40    1.455248         668      2178           mprotect
  0.27    0.988368         680      1452           read
  0.16    0.565699         178      3163           gettid
  0.10    0.354923         980       362           clock_nanosleep
  0.09    0.323741      323741         1           accept
  0.06    0.231242         152      1521           rt_sigreturn
  0.03    0.104860         137       761           mmap
  0.02    0.081397          37      2189           rt_sigprocmask
  0.02    0.061437          67       911           clock_gettime
  0.01    0.052645         449       117           munmap
  0.01    0.025245          52       481           sched_getaffinity
  0.01    0.022472         401        56           madvise
  0.01    0.018243          23       774           getsockname
  0.00    0.018082          13      1296           lseek
  0.00    0.012899         134        96           clone3
  0.00    0.011293          21       517           setsockopt
  0.00    0.010727          53       202           sched_yield
  0.00    0.010493          40       256           getpeername
  0.00    0.009690          35       272           getrusage
  0.00    0.006696          69        97           set_robust_list
  0.00    0.005998           9       602           pread64
  0.00    0.005620          32       171           close
  0.00    0.005088          44       114           sysinfo
  0.00    0.001487          15        97           rseq
  0.00    0.001082          18        57           io_uring_register
  0.00    0.000916           9        95           prctl
  0.00    0.000396           1       208        97 openat
  0.00    0.000342           2       124         1 fstat
  0.00    0.000342          13        25           io_uring_setup
  0.00    0.000173           2        78        76 readlink
  0.00    0.000167           4        41        15 stat
  0.00    0.000100           5        19           socket
  0.00    0.000091           5        17         3 ioctl
  0.00    0.000073          24         3           bind
  0.00    0.000037           2        18           eventfd2
  0.00    0.000035           2        15           fcntl
  0.00    0.000027           4         6           getsockopt
  0.00    0.000021           0        23           rt_sigaction
  0.00    0.000020           2        10         1 access
  0.00    0.000017           0        61        54 newfstatat
  0.00    0.000014           4         3         1 unlink
  0.00    0.000013           6         2           lstat
  0.00    0.000013           3         4         4 connect
  0.00    0.000013           4         3           getcwd
  0.00    0.000011           3         3           statx
  0.00    0.000010           1         7           getpid
  0.00    0.000008           4         2           uname
  0.00    0.000007           7         1           shutdown
  0.00    0.000007           3         2           listen
  0.00    0.000002           2         1           getuid
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1           epoll_ctl
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         7           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00  362.027264         755    479366     28113 total
