% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 78.65  369.485699        2429    152079     24863 futex
 18.42   86.536924         136    634394           io_uring_enter
  2.87   13.501904          57    235463           write
  0.03    0.125071      125070         1           accept
  0.01    0.049986          31      1578           mprotect
  0.00    0.015469         118       131           getrusage
  0.00    0.014127          23       606           rt_sigprocmask
  0.00    0.009479          14       668           mmap
  0.00    0.008556           5      1447           read
  0.00    0.007671           5      1292           lseek
  0.00    0.007053          42       166           clock_gettime
  0.00    0.004951           8       606           pread64
  0.00    0.004564          51        89           munmap
  0.00    0.004000          95        42           madvise
  0.00    0.003704          21       170           close
  0.00    0.003286          39        84           clone3
  0.00    0.002349          22       106           sched_yield
  0.00    0.001438           9       150           gettid
  0.00    0.001218          21        57           io_uring_register
  0.00    0.001073           9       111           sched_getaffinity
  0.00    0.001024          12        83           prctl
  0.00    0.000631           7        85           rseq
  0.00    0.000596           7        85           set_robust_list
  0.00    0.000584           4       124         1 fstat
  0.00    0.000566          13        41        15 stat
  0.00    0.000473           2       207        97 openat
  0.00    0.000420          70         6           getsockopt
  0.00    0.000246           3        78        76 readlink
  0.00    0.000234           5        41           sysinfo
  0.00    0.000196           6        30           getsockname
  0.00    0.000190         190         1           shutdown
  0.00    0.000136           7        19           socket
  0.00    0.000112          37         3         1 unlink
  0.00    0.000106           9        11           clock_nanosleep
  0.00    0.000104           4        21           setsockopt
  0.00    0.000087          87         1           epoll_create1
  0.00    0.000077           4        18           rt_sigreturn
  0.00    0.000076          25         3           statx
  0.00    0.000067           8         8           getpeername
  0.00    0.000061           1        61        54 newfstatat
  0.00    0.000055           3        15           fcntl
  0.00    0.000038          19         2           lstat
  0.00    0.000025          25         1           socketpair
  0.00    0.000024           1        23           rt_sigaction
  0.00    0.000023           2        10         1 access
  0.00    0.000018           6         3           bind
  0.00    0.000018           2         7           prlimit64
  0.00    0.000014           0        17         3 ioctl
  0.00    0.000013           3         4         4 connect
  0.00    0.000011           1         7           getpid
  0.00    0.000011           3         3           getcwd
  0.00    0.000008           8         1           epoll_ctl
  0.00    0.000007           0        18           eventfd2
  0.00    0.000005           2         2           uname
  0.00    0.000005           5         1           getuid
  0.00    0.000002           1         2           listen
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0        25           io_uring_setup
------ ----------- ----------- --------- --------- ------------------
100.00  469.794785         455   1030336     25117 total
