% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 71.10   47.828777        1148     41652      8711 futex
 12.38    8.327402         741     11228           epoll_pwait2
  6.56    4.415062         110     40001           writev
  5.75    3.865069          96     40001           recvfrom
  1.84    1.235357     1235357         1           accept
  0.83    0.557958         343      1625           read
  0.31    0.210370         205      1024           accept4
  0.27    0.178710          83      2133           mprotect
  0.25    0.164919          53      3110           epoll_ctl
  0.18    0.121011          58      2054           setsockopt
  0.17    0.113547          55      2054           getsockname
  0.14    0.092413          44      2054           getsockopt
  0.08    0.052161          43      1205           close
  0.03    0.022378          34       651           mmap
  0.03    0.019095          26       724           write
  0.02    0.010995          20       533           rt_sigprocmask
  0.01    0.009589          74       129           gettid
  0.01    0.008879         197        45           madvise
  0.01    0.006693          69        97           sysinfo
  0.01    0.005119          70        73           clone3
  0.01    0.004721           3      1473           lseek
  0.00    0.003055          61        50           epoll_wait
  0.00    0.002371          32        74           rseq
  0.00    0.002210          42        52           munmap
  0.00    0.002033           3       545           pread64
  0.00    0.001611          57        28           sched_yield
  0.00    0.001368          18        74           set_robust_list
  0.00    0.001038          11        94           clock_gettime
  0.00    0.001032          14        72           prctl
  0.00    0.000969          10        96           sched_getaffinity
  0.00    0.000620          29        21           getrusage
  0.00    0.000542           6        78        76 readlink
  0.00    0.000469           2       204        97 openat
  0.00    0.000397         397         1           clock_nanosleep
  0.00    0.000258           6        40        15 stat
  0.00    0.000190           1       111         1 fstat
  0.00    0.000066           1        61        54 newfstatat
  0.00    0.000065          21         3           bind
  0.00    0.000046           2        18         3 ioctl
  0.00    0.000028           1        20           socket
  0.00    0.000023          11         2           unlink
  0.00    0.000021          21         1           shutdown
  0.00    0.000020           1        15           fcntl
  0.00    0.000019           3         5           rt_sigreturn
  0.00    0.000018           1        10         1 access
  0.00    0.000016           5         3           statx
  0.00    0.000012           0        23           rt_sigaction
  0.00    0.000011           3         3           getcwd
  0.00    0.000008           2         4         4 connect
  0.00    0.000007           1         7           getpid
  0.00    0.000006           3         2           listen
  0.00    0.000004           2         2           uname
  0.00    0.000003           3         1           getuid
  0.00    0.000002           0        19           eventfd2
  0.00    0.000002           0        19           epoll_create1
  0.00    0.000002           2         1         1 recvmmsg
  0.00    0.000001           1         1         1 sendmmsg
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           epoll_create
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0        17           timerfd_create
  0.00    0.000000           0         7           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00   67.268768         437    153683      8966 total
