% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 71.53   55.138907        1583     34825      7686 futex
  8.88    6.842829         575     11887           epoll_pwait2
  8.43    6.495257         108     60001           writev
  7.58    5.842162          97     60001           recvfrom
  1.46    1.122005     1122005         1           accept
  1.32    1.017738         626      1625           read
  0.21    0.160828          90      1770           mprotect
  0.15    0.112490         439       256           accept4
  0.11    0.082831         102       806           epoll_ctl
  0.06    0.045196          87       518           getsockname
  0.06    0.044619          86       518           setsockopt
  0.06    0.042931          82       518           getsockopt
  0.03    0.021377          48       437           close
  0.03    0.020196         306        66           clone3
  0.02    0.015847          25       631           mmap
  0.02    0.014339          69       205           write
  0.02    0.012498         255        49           sysinfo
  0.01    0.011493         499        23           sched_yield
  0.01    0.010024          21       475           rt_sigprocmask
  0.01    0.006321           4      1473           lseek
  0.01    0.004408          49        89           sched_getaffinity
  0.01    0.004367          30       144           gettid
  0.00    0.002436          67        36           epoll_wait
  0.00    0.001974           3       545           pread64
  0.00    0.001954          52        37           madvise
  0.00    0.001535          22        67           rseq
  0.00    0.001055          16        65           prctl
  0.00    0.000922           7       124           clock_gettime
  0.00    0.000781          15        49           munmap
  0.00    0.000612           9        67           set_robust_list
  0.00    0.000464          20        23           getrusage
  0.00    0.000454          11        40        15 stat
  0.00    0.000214         214         1           clock_nanosleep
  0.00    0.000167           0       204        97 openat
  0.00    0.000164         164         1           shutdown
  0.00    0.000093           4        19           eventfd2
  0.00    0.000091           4        19           epoll_create1
  0.00    0.000080           4        17           timerfd_create
  0.00    0.000078           0       111         1 fstat
  0.00    0.000073           3        20           socket
  0.00    0.000058           0        78        76 readlink
  0.00    0.000057          19         3           bind
  0.00    0.000026           1        18         3 ioctl
  0.00    0.000022           7         3           statx
  0.00    0.000011           5         2           unlink
  0.00    0.000010           1        10         1 access
  0.00    0.000009           9         1           epoll_create
  0.00    0.000007           3         2           listen
  0.00    0.000006           0        15           fcntl
  0.00    0.000005           1         5           rt_sigreturn
  0.00    0.000001           0         7           getpid
  0.00    0.000001           0         2           uname
  0.00    0.000001           1         1         1 recvmmsg
  0.00    0.000001           1         1         1 sendmmsg
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         4           brk
  0.00    0.000000           0        23           rt_sigaction
  0.00    0.000000           0         4         4 connect
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         3           getcwd
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0        61        54 newfstatat
  0.00    0.000000           0         7           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00   77.082025         432    178041      7941 total
