% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 74.62  264.695605        1250    211747     38057 futex
 18.35   65.091613        1602     40621           epoll_pwait2
  5.88   20.853529          91    227538           sendto
  0.79    2.811353          73     38194           write
  0.10    0.358342          68      5221           recvfrom
  0.08    0.266848         182      1465           read
  0.06    0.217878      217878         1           accept
  0.04    0.155239          86      1789           mprotect
  0.01    0.050516         789        64           accept4
  0.01    0.046961          84       557           epoll_wait
  0.01    0.030130          45       659           rt_sigprocmask
  0.01    0.026960          41       655           mmap
  0.01    0.019125          80       239           close
  0.01    0.018178         956        19           getrusage
  0.00    0.011144         123        90           clone3
  0.00    0.010715           8      1310           lseek
  0.00    0.010412          47       221           epoll_ctl
  0.00    0.006452          48       134           setsockopt
  0.00    0.006069          97        62           sysinfo
  0.00    0.005553           9       601           pread64
  0.00    0.005396          40       134           getsockname
  0.00    0.005389          99        54           sched_yield
  0.00    0.005386          43       125           getsockopt
  0.00    0.003939          98        40           madvise
  0.00    0.003111          34        91           set_robust_list
  0.00    0.002923          12       235           gettid
  0.00    0.002337          25        91           rseq
  0.00    0.002055          34        59           munmap
  0.00    0.001927          15       123           sched_getaffinity
  0.00    0.001735          19        89           prctl
  0.00    0.000513           2       207        97 openat
  0.00    0.000435           4       108           clock_gettime
  0.00    0.000382          10        37           rt_sigreturn
  0.00    0.000321          17        18           clock_nanosleep
  0.00    0.000317           2       124         1 fstat
  0.00    0.000303           7        41        15 stat
  0.00    0.000263           3        78        76 readlink
  0.00    0.000107           1        61        54 newfstatat
  0.00    0.000097           4        20           socket
  0.00    0.000093          31         3           statx
  0.00    0.000092           9        10         1 access
  0.00    0.000084          84         1           shutdown
  0.00    0.000072           4        17         3 ioctl
  0.00    0.000057           3        15           fcntl
  0.00    0.000021           0        23           rt_sigaction
  0.00    0.000013           3         4         4 connect
  0.00    0.000013           6         2           unlink
  0.00    0.000011           1         7           getpid
  0.00    0.000011           3         3           getcwd
  0.00    0.000008           8         1           socketpair
  0.00    0.000008           8         1           epoll_create
  0.00    0.000007           3         2           uname
  0.00    0.000004           4         1           getuid
  0.00    0.000003           1         3           bind
  0.00    0.000002           0        19           eventfd2
  0.00    0.000002           0        19           epoll_create1
  0.00    0.000002           2         1         1 sendmmsg
  0.00    0.000001           1         1         1 recvmmsg
  0.00    0.000000           0         2           lstat
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         2           listen
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0        17           timerfd_create
  0.00    0.000000           0         7           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00  354.730062         665    533112     38312 total
