% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 90.46   48.086833        1089     44144      9747 futex
  4.42    2.350639          39     60016           epoll_pwait2
  2.32    1.232268         758      1625           read
  1.42    0.756418      756418         1           accept
  0.85    0.450341           7     60001           writev
  0.39    0.209486           3     60001           recvfrom
  0.04    0.021987          14      1516           mprotect
  0.02    0.008687           5      1473           lseek
  0.01    0.007224          14       507           rt_sigprocmask
  0.01    0.006276          34       182           close
  0.01    0.004691           8       545           pread64
  0.01    0.004580           7       578           mmap
  0.01    0.004399          63        69           clone3
  0.00    0.002295          32        71           gettid
  0.00    0.002158          49        44           madvise
  0.00    0.002155          30        70           rseq
  0.00    0.001012          15        64           write
  0.00    0.000863          12        70           set_robust_list
  0.00    0.000808          19        41           munmap
  0.00    0.000717          10        68           prctl
  0.00    0.000604           6        92           sched_getaffinity
  0.00    0.000600           3       192           clock_gettime
  0.00    0.000497          12        41           epoll_ctl
  0.00    0.000486          28        17           epoll_wait
  0.00    0.000382          15        25           sched_yield
  0.00    0.000381           1       204        97 openat
  0.00    0.000357          11        31           sysinfo
  0.00    0.000293           3        78        76 readlink
  0.00    0.000279          15        18         3 ioctl
  0.00    0.000246           7        35           getrusage
  0.00    0.000181           4        40        15 stat
  0.00    0.000150           7        20           socket
  0.00    0.000125           1       111         1 fstat
  0.00    0.000091           4        19           eventfd2
  0.00    0.000090           4        19           epoll_create1
  0.00    0.000081           4        17           timerfd_create
  0.00    0.000072           1        61        54 newfstatat
  0.00    0.000061          20         3           bind
  0.00    0.000057           7         8           getsockopt
  0.00    0.000055           6         8           getsockname
  0.00    0.000048           6         8           setsockopt
  0.00    0.000037           2        15           fcntl
  0.00    0.000034          34         1           shutdown
  0.00    0.000032           3        10         1 access
  0.00    0.000019           0        23           rt_sigaction
  0.00    0.000019          19         1           accept4
  0.00    0.000018           6         3           statx
  0.00    0.000013           3         4         4 connect
  0.00    0.000013           6         2           unlink
  0.00    0.000012           4         3           getcwd
  0.00    0.000010           2         5           rt_sigreturn
  0.00    0.000010           1         7           getpid
  0.00    0.000010          10         1           socketpair
  0.00    0.000006           3         2           listen
  0.00    0.000005           2         2           uname
  0.00    0.000004           4         1           getuid
  0.00    0.000002           2         1           epoll_create
  0.00    0.000002           0         7           prlimit64
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1         1 recvmmsg
  0.00    0.000000           0         1         1 sendmmsg
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00   53.159219         228    232253     10002 total
