% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 81.06   74.011971        2069     35767      8022 futex
 15.87   14.492838          80    180099           io_uring_enter
  1.47    1.346492     1346492         1           accept
  1.46    1.332193         830      1605           read
  0.05    0.042709          24      1734           mprotect
  0.01    0.012016          25       474           rt_sigprocmask
  0.01    0.010003          15       644           mmap
  0.01    0.007075         186        38           madvise
  0.01    0.006621          80        82           munmap
  0.01    0.005758           3      1453           lseek
  0.01    0.005324         253        21           sched_yield
  0.00    0.004129          72        57           io_uring_register
  0.00    0.003441          52        65           clone3
  0.00    0.003191          19       167           close
  0.00    0.002675          25       105           write
  0.00    0.002642           4       548           pread64
  0.00    0.001743          26        66           set_robust_list
  0.00    0.001499          22        66           rseq
  0.00    0.001365          14        96           gettid
  0.00    0.001320          14        89           sched_getaffinity
  0.00    0.001257          50        25           io_uring_setup
  0.00    0.000963          15        64           prctl
  0.00    0.000919          43        21           setsockopt
  0.00    0.000684           3       204        97 openat
  0.00    0.000561          21        26           sysinfo
  0.00    0.000552          69         8           rt_sigreturn
  0.00    0.000513           4       110           clock_gettime
  0.00    0.000401          17        23           getrusage
  0.00    0.000321          10        30           getsockname
  0.00    0.000230          76         3           clock_nanosleep
  0.00    0.000194           2        78        76 readlink
  0.00    0.000142           3        40        15 stat
  0.00    0.000136           1       111         1 fstat
  0.00    0.000105           1        61        54 newfstatat
  0.00    0.000066           8         8           getpeername
  0.00    0.000052          17         3           bind
  0.00    0.000046           3        15           fcntl
  0.00    0.000043           2        18           eventfd2
  0.00    0.000042          42         1           shutdown
  0.00    0.000032           1        19           socket
  0.00    0.000027           1        18         3 ioctl
  0.00    0.000019           0        23           rt_sigaction
  0.00    0.000017           4         4         4 connect
  0.00    0.000013           6         2           ftruncate
  0.00    0.000011           1         7           getpid
  0.00    0.000010           1        10         1 access
  0.00    0.000010           3         3           statx
  0.00    0.000009           3         3         1 unlink
  0.00    0.000008           2         3           getcwd
  0.00    0.000008           8         1           epoll_create1
  0.00    0.000007           1         6           getsockopt
  0.00    0.000007           7         1           flock
  0.00    0.000007           7         1           epoll_ctl
  0.00    0.000006           3         2           listen
  0.00    0.000006           6         1           socketpair
  0.00    0.000006           0         7           prlimit64
  0.00    0.000005           2         2           uname
  0.00    0.000004           4         1           getuid
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00   91.302444         407    224167      8276 total
