Linux 7.0.0-1006-aws (ip-172-31-28-187) 	06/20/26 	_x86_64_	(16 CPU)

19:36:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:36:21     all   29.65    0.00    3.60    0.13    0.00    0.00    0.00    0.00    0.00   66.62
19:36:21       0   36.08    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   62.89
19:36:21       1   27.55    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   70.41
19:36:21       2   38.00    0.00   27.00    0.00    0.00    0.00    0.00    0.00    0.00   35.00
19:36:21       3   20.20    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   77.78
19:36:21       4   35.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00
19:36:21       5   26.26    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   70.71
19:36:21       6   25.25    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   72.73
19:36:21       7   27.55    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   71.43
19:36:21       8   28.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   70.00
19:36:21       9   27.72    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   70.30
19:36:21      10   24.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   73.00
19:36:21      11   31.96    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   65.98
19:36:21      12   32.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   66.00
19:36:21      13   33.33    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   63.64
19:36:21      14   30.30    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   67.68
19:36:21      15   31.31    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   65.66

19:36:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:36:22     all   12.43    0.00    1.06    0.19    0.00    0.19    0.00    0.00    0.00   86.13
19:36:22       0   13.13    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   85.86
19:36:22       1   12.87    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   85.15
19:36:22       2    9.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   90.00
19:36:22       3   11.11    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   87.88
19:36:22       4   13.13    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   85.86
19:36:22       5   13.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
19:36:22       6    8.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   90.00
19:36:22       7    9.90    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   88.12
19:36:22       8   15.84    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   83.17
19:36:22       9   12.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   85.00
19:36:22      10   12.87    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   85.15
19:36:22      11   16.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
19:36:22      12   13.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
19:36:22      13   18.81    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   80.20
19:36:22      14   15.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   82.00
19:36:22      15    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94

19:36:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:36:23     all   19.17    0.00    1.58    0.32    0.00    0.13    0.00    0.00    0.00   78.81
19:36:23       0   21.78    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   76.24
19:36:23       1   18.56    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   80.41
19:36:23       2   14.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   83.00
19:36:23       3   15.15    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   82.83
19:36:23       4   22.77    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   76.24
19:36:23       5   18.18    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   79.80
19:36:23       6   22.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   76.00
19:36:23       7   24.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
19:36:23       8   19.39    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   78.57
19:36:23       9   24.74    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   74.23
19:36:23      10   17.17    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   79.80
19:36:23      11   15.15    0.00    3.03    2.02    0.00    0.00    0.00    0.00    0.00   79.80
19:36:23      12   14.14    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   83.84
19:36:23      13   30.30    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   68.69
19:36:23      14   13.13    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   84.85
19:36:23      15   16.16    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   81.82

19:36:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:36:24     all   13.79    0.00    1.82    0.56    0.00    0.13    0.00    0.00    0.00   83.70
19:36:24       0   13.13    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   84.85
19:36:24       1   15.69    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   82.35
19:36:24       2   14.29    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   84.69
19:36:24       3   15.84    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   82.18
19:36:24       4    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
19:36:24       5   18.18    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   79.80
19:36:24       6    9.09    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   88.89
19:36:24       7   15.15    0.00    3.03    3.03    0.00    0.00    0.00    0.00    0.00   78.79
19:36:24       8   18.81    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   78.22
19:36:24       9   12.00    0.00    3.00    3.00    0.00    0.00    0.00    0.00    0.00   82.00
19:36:24      10   17.17    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   81.82
19:36:24      11   14.14    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   83.84
19:36:24      12   16.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   82.00
19:36:24      13   17.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   81.00
19:36:24      14    8.91    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   88.12
19:36:24      15   10.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00

19:36:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:36:25     all   17.76    0.00    1.07    0.19    0.00    0.00    0.00    0.00    0.00   80.98
19:36:25       0   13.27    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   85.71
19:36:25       1   25.51    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   73.47
19:36:25       2   27.72    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   70.30
19:36:25       3   10.10    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   88.89
19:36:25       4   22.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   76.00
19:36:25       5   23.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   75.00
19:36:25       6   26.26    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   72.73
19:36:25       7   12.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
19:36:25       8   21.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   77.00
19:36:25       9   16.16    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   82.83
19:36:25      10   16.16    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   81.82
19:36:25      11   15.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.85
